0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, act   Load, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
2,10:15:41:122,0,20,0,0,3,0,1,-106.674,160.995,269.577,0,0,0,97,2000,0,623,10294,46.8457,0,0,155,100,100,0,1,0,0,15.4382,15.5288,50.7096,50.6939,0.0178,0.0012,0,0.0194,0.0031,0
3,10:15:41:172,50,20,0,0,3,0,1,-106.674,160.995,269.577,0,0,0,97,2000,0,623,10294,46.8457,0,0,155,100,100,0,1,0,0,10.8853,10.9369,50.7096,50.6939,0.0169,0.0026,0,0.02,0.0019,0
4,10:15:41:272,100,20,0,0,3,0,1,-72.025,98.595,269.577,0,-26398.759,-26398.764,7,2000,0,1800,10294,46.8457,0,0,155,100,100,0,1,0,0,8.9526,8.9542,50.7096,50.6939,0.0169,0.0026,0,0.02,0.0019,0
5,10:15:41:360,88,20,0,0,3,0,1,-72.025,98.595,269.577,0,-26398.759,-26398.764,7,2000,0,1800,10294,46.8457,0,0,155,100,100,0,1,0,0,7.2933,7.2199,50.7096,50.6939,0.016,0.0035,0,0.0187,0.0009,0
6,10:15:41:460,100,20,0,0,3,0,1,-72.025,98.595,269.577,0,-26398.759,-26398.764,7,2000,0,1800,10294,46.8457,0,0,155,100,100,0,1,0,0,6.984,6.8902,50.7096,50.6924,0.016,0.0035,0,0.0187,0.0009,0
7,10:15:41:559,99,20,0,0,3,0,1,-45.372,50.595,269.577,0,0,0,7,2000,0,1799,10294,46.8457,0,0,155,100,100,0,1,0,0,6.5574,6.4418,50.7096,50.6939,0.0158,0.0056,3912.5,0.0193,0.0001,3912.5
8,10:15:41:656,97,20,0,0,3,0,1,-45.372,50.595,269.577,0,0,0,0,2000,0,1799,10294,46.8457,0,0,155,100,100,0,1,0,0,6.4293,6.3028,50.7096,50.6924,0.0158,0.0056,3912.5,0.0193,0.0001,3912.5
9,10:15:41:754,98,20,0,0,3,0,1,-45.372,50.595,269.577,0,0,0,0,2000,0,1799,10294,46.8457,0,0,155,100,100,0,1,0,0,6.3606,6.2137,50.7096,50.6924,0.0161,0.0074,3912.5,0.0192,0.0015,3912.5
10,10:15:41:854,100,20,0,0,3,0,1,-45.372,50.595,269.577,0,0,0,0,2000,0,1799,10294,46.8457,0,0,155,100,100,0,1,0,0,6.2387,6.095,50.7096,50.6924,0.016,0.0044,3912.5,0.0195,0.0004,3912.5
